C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
184 |V* V571 Tau                  |Fl*|058.50896 +24.31942        |     ~|16.6  |     ~|15.900|     ~|~              |   8|   0
185 |V* V1106 Ori                 |Fl*|083.942229 -04.291636      |13.8  |15.00 |     ~|14.0  |     ~|~              |   3|   0
186 |V* HV Cep                    |Fl*|312.27650 +66.44864        |     ~|16.9  |     ~|16.400|     ~|~              |   2|   0
187 |V* V840 Ori                  |Fl*|084.1071 -07.7897          |     ~|     ~|15.5  |     ~|     ~|~              |   2|   0
188 |HD 225213                    |Fl*|001.35178452 -37.35736140  |11.074|10.022| 8.562| 7.589| 6.432|M2V            | 155|   0
189 |GJ 3227                      |Fl*|052.2065374 +26.4867634    |     ~|15.0  |13.424|13.043|10.5  |M4V            |  19|   0
190 |V* NX Tau                    |Fl*|056.233308 +23.931539      |     ~|17.00 |17.30 |     ~|14.40 |~              |  11|   0
191 |V* V737 Tau                  |Fl*|055.72217 +23.51875        |14.5  |19.38 |     ~|     ~|     ~|~              |   9|   1
192 |V* V1094 Ori                 |Fl*|082.67354 -04.89853        |     ~|15.8  |     ~|17.300|     ~|~              |   2|   0
193 |V* HW Ori                    |Fl*|083.466717 -05.115494      |     ~|14.8  |17.09 |     ~|14.27 |~              |   8|   0
194 |2MASS J22020839+4907173      |Fl*|330.535000 +49.121475      |     ~|     ~|12.777|     ~|     ~|~              |   1|   0
195 |HPRA 62                      |Fl*|083.92 -04.23              |     ~|14.9  |     ~|     ~|     ~|~              |   1|   0
196 |V* V740 Tau                  |Fl*|056.01871 +25.85628        |13.6  |13.949|12.847|     ~|11.559|~              |  11|   0
197 |V* V1058 Ori                 |Fl*|081.9896 -04.0119          |     ~|16.1  |     ~|     ~|     ~|~              |   2|   0
198 |V* V822 Tau                  |Fl*|066.417 +21.963            |     ~|14.5  |     ~|     ~|     ~|~              |   2|   0
199 |GJ 3780                      |Fl*|200.90854 -25.91250        |     ~|12.9  |12.89 |11.68 |10.11 |M3.5           |  23|   1
200 |V* V399 Ori                  |Fl*|083.673792 -05.448056      |19.316|18.152|17.041|     ~|13.972|M3             |  21|   0
201 |* bet Boo                    |Fl*|225.48650991 +40.39056683  | 5.21 | 4.47 | 3.52 | 2.85 | 2.37 |G8IIIaBa0.5    | 224|   0
202 |V* V590 Ori                  |Fl*|084.44062 -05.88561        |     ~|14.4  |     ~|14.500|     ~|~              |   2|   0
203 |V* V747 Tau                  |Fl*|056.469774 +23.465094      |     ~|15.7  |18.08 |     ~|15.08 |~              |  12|   0
204 |V* V539 Tau                  |Fl*|056.85746 +25.14253        |     ~|18.68 |16.91 |     ~|13.98 |M4             |  21|   0
205 |V* V692 Mon                  |Fl*|099.93996 +10.38156        |     ~|16.2  |     ~|14.800|     ~|~              |   1|   0
